Country Name,Year,CO2 emissions (metric tons per capita),CO2 emissions (kt),Urban population (% of total population),Population growth (annual %),Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Methane emissions (kt of CO2 equivalent),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita)
North Macedonia,82000,170.99710580280941,303269.5036420794,2354.716000000001,9.070818456,639512.5861780271,37356.2945076837,134706.33138581156,119.57147536660091,60661.72730926412
Norway,82000,332.9171638387593,1515296.0847338862,3115.1549999999997,27.832954992999998,2187761.088993873,37226.62910922995,323289.21152171184,68.92696325352891,211946.14701660917
Oman,82000,407.9834881736977,1175702.5201840277,2882.081,154.26572966199996,1621855.7106000942,-58574.967474421304,220222.74837438285,127.14446479087562,150480.25628229426
Pakistan,82000,29.26342276729802,3974182.24221478,1344.5489999999998,107.27334217200004,9431536.110143675,-109380.46763183973,3876533.0652652313,63.826310555357196,19679.376681717626
Palau,82000,463.4485700924803,59765.39263170543,2943.3869999999993,39.149613911999985,325482.7238444442,212475.03251656835,56625.09013272121,107.42006932035595,198937.1373778581
Panama,82000,80.07673873655847,281388.5142359975,2466.0800000000004,80.38491702800002,606110.4275288198,47065.95750633263,206956.4045330713,87.62776161214727,39058.42851574189
Papua New Guinea,82000,23.108747622000003,183343.53126288162,555.959,94.483714323,928747.7006806005,262735.7124201424,304715.89381729596,65.64000696533107,8526.155849533316
Paraguay,82000,32.946437335609104,193909.4154237804,2206.2609999999995,83.48293168899998,1774098.97033256,383803.6316566955,857500.0593127314,42.709683730562176,32847.06329582191
Peru,82000,56.99909555140626,1301338.4231270636,2972.4650000000006,65.579267247,2752162.435795335,215699.89631603129,925713.6106777911,92.44448647591072,28349.094350645242
Philippines,82000,37.231663118550564,2684918.992810903,1850.7760000000003,86.62891465299997,5421107.969722531,72706.68788897672,2157274.8031964637,72.39638217654756,22374.175622966948
Poland,82000,363.4543662473075,13569087.24349363,2490.6599999999994,7.390406090999998,17426731.062149998,-137061.20462454576,2862364.9936101614,132.27961800929236,113615.62911849146
Portugal,82000,187.10166057409975,1900256.3267274073,2228.74,6.455935149999999,2643835.8268130952,42342.03608008469,479754.68760752596,100.39068708861153,79185.31059359084
